"Risk_Category","Risk_Factor_Title","Verbatim_Excerpt"
"Market-Related","Macroeconomic, Geopolitical and Other Challenges and Uncertainties Could Continue to Have a Negative Impact on Citi","Citi has experienced, and could experience in the future, negative impacts to its businesses, cost of credit, results of operations and financial condition as a result of various macroeconomic, geopolitical and other challenges, uncertainties and volatility... including increases in unemployment rates, recessions or slowing economic growth in the U.S., Europe and other regions or countries, deterioration in consumer and corporate confidence, and geopolitical conflicts."
"Market-Related","Changes to Interest Rates Could Adversely Affect Citi’s Results of Operations","Changes to interest rates could adversely affect Citi’s results of operations. An increase or decrease in interest rates may affect the value of Citi’s debt and equity securities, as well as its derivatives and other instruments, and may affect the level of Citi’s interest income and interest expense."
"Strategic","Regulatory and Legislative Uncertainties and Changes in the U.S. and Globally","Citi Faces Ongoing Regulatory and Legislative Uncertainties and Changes in the U.S. and Globally. Citi is subject to regulation under various U.S. federal and state laws, as well as applicable laws in the other jurisdictions in which it does business."
"Strategic","Climate Change Presents Various Financial and Non-Financial Risks to Citi","Climate change presents both immediate and long-term risks to Citi, with the risks expected to increase over time. Climate risks can arise from both physical risks and transition risks. Physical and transition risks can manifest differently across Citi’s risk categories in the short, medium and long terms."
"Strategic","Ability to Return Capital to Common Shareholders Depends on Regulatory Capital Requirements","Citi’s ability to return capital to its common shareholders consistent with its capital planning efforts and targets substantially depends, among other things, on its regulatory capital requirements. Citi is required to hold regulatory capital buffers, including a Global Systemically Important Bank (GSIB) surcharge."
"Strategic","Talent Risk","Citi’s Performance Could Be Negatively Impacted if It Is Not Able to Hire and Retain Qualified Employees. At December 31, 2025, Citi had approximately 226,000 full-time employees. Attracting and retaining highly qualified and motivated employees is a strategic priority."
"Strategic","Competitive Challenges and Emerging Technologies","Citi Faces Potential Disruptions from an Evolving Business Environment, Including Competitive Challenges and Emerging Technologies. Citi competes with other financial services companies, including non-traditional firms such as private credit, financial technology and digital asset companies that are less regulated and supervised and continue to expand their activities."
"Strategic","AI Risk","The Development and Use of AI by Citi and Others Present Risks to Citi’s Businesses. The development and use of AI by Citi and other market participants present risks, including operational risk, model risk and reputational risk, among others."
"Operational","Disruption or Failure of Operational Processes or Systems","A Disruption or Failure of Citi’s Operational Processes or Systems Could Negatively Impact Its Reputation, Customers, Clients, Businesses or Results of Operations and Financial Condition. Citi’s global operations rely heavily on its technology systems and infrastructure, including the accurate, complete, timely and secure processing, management, storage and transmission of data, including confidential transactions."
"Credit","Credit Risk and Concentrations of Risk","Credit Risk and Concentrations of Risk Can Increase the Potential for Citi to Incur Significant Losses. Citi has credit exposures to consumer, corporate and public sector borrowers and other counterparties including end-of-period consumer loans of  billion and corporate loans of  billion at December 31, 2025."
"Liquidity","Liquidity Management","Citi’s Businesses, Results of Operations and Financial Condition Could Be Negatively Impacted if It Does Not Effectively Manage Its Liquidity. Citi’s liquidity, sources of funding and costs of funding can be significantly and negatively impacted by factors it cannot control, such as general disruptions in the financial markets and changes in fiscal and monetary policies."
"Liquidity","Ratings Downgrade","A Ratings Downgrade Could Adversely Impact Citi’s Funding and Liquidity. A downgrade in Citi’s credit ratings could trigger additional margin or collateral requirements in derivatives and other contracts, reduce access to funding markets or increase Citi’s cost of funding."
"Compliance","Regulatory and Legislative Requirements and Changes","Regulatory Expectations and Scrutiny in the U.S. and Globally as well as Ongoing Interpretation and Implementation of Regulatory and Legislative Requirements and Changes Subject Citi to Significant Compliance, Regulatory and Other Risks and Costs. Large financial institutions, such as Citi, face significant regulatory and supervisory expectations and scrutiny in the U.S. and globally."
"Other","Emerging Markets Presence","Citi’s Emerging Markets Presence Subjects It to Various Risks as well as Increased Compliance and Regulatory Risks and Costs. During 2025, emerging markets revenues accounted for approximately 25% of Citi’s total revenues."
"Sustainability","Climate Change and Energy Transition","Citi and its clients face escalating global environmental and social challenges, including climate change and the energy transition. Citi’s net zero approach and sustainable finance activity include the Company’s work to support clients in financing their transition to low-carbon business models."
"Operational (Other)","Cybersecurity and Third-Party Risk","A Disruption or Failure of Citi’s Operational Processes or Systems Could Negatively Impact Its Reputation. Citi obtains and stores an extensive amount of personal and client data. A cyber breach or operational failure could result in material loss of client data or disruption of critical infrastructure."
