Risk_Category,Risk_Factor_Title,Verbatim_Excerpt
Market,Financial Markets and Macroeconomic Conditions,"We may be adversely affected by the financial markets, fiscal, monetary, and regulatory policies, and economic conditions. General economic, political, social and health conditions, including any prolonged economic downturn that may occur, in the U.S. and abroad affect financial markets and our businesses."
Market,Interest Rate and Market Risk,"Our liquidity, competitive position, business, results of operations and financial condition are affected by market risks such as changes in interest and currency exchange rates, fluctuations in equity, commodity and futures prices, trading volumes and prices of securitized products, the implied volatility of interest rates and credit spreads, idiosyncratic market events and other economic and business factors."
Market,Credit Rating Risk,"Reduction in our credit ratings could limit our access to funding or the capital markets, increase borrowing costs or trigger additional collateral or funding requirements. A downgrade could widen our credit spread, negatively affect our access to credit markets, the related cost of funds, our businesses and certain trading revenues."
Liquidity,Funding and Liquidity Access,"If we are unable to access capital markets, experience sustained net deposit outflows, or our borrowing costs increase, our liquidity and competitive position may be negatively affected. Liquidity is essential to our businesses and is primarily supported by globally sourced deposits in our bank entities, as well as secured and unsecured liabilities transacted in the capital markets."
Liquidity,Holding Company Liquidity Dependency,"Bank of America Corporation, as the parent company, is a separate and distinct legal entity from its bank and nonbank subsidiaries. The parent company depends on dividends, distributions, loans and other payments from our bank and nonbank subsidiaries to fund dividend payments on our common and preferred stock and to fund payments on our other obligations, including debt obligations."
Liquidity,Resolution and Orderly Liquidation Risk,"When a G-SIB such as Bank of America Corporation is in default or danger of default, the FDIC may be appointed receiver to conduct an orderly liquidation, and could, among other things, invoke the orderly liquidation authority, instead of the U.S. Bankruptcy Code, if the Secretary of the Treasury makes certain financial distress and systemic risk determinations."
Credit,Credit Loss and Provision Risk,"Economic or market disruptions and insufficient credit loss reserves may result in a higher provision for credit losses. A number of our products expose us to credit risk, including loans, letters of credit, derivatives, debt securities, trading account assets and assets held-for-sale."
Credit,Credit Concentration Risk,"We have been in the past and may in the future be subject to concentrations of credit risk because of a common characteristic or common sensitivity to economic, financial, public health or business developments. Concentrations of credit risk may reside in a particular industry, geography, product, asset class, counterparty or within any pool of exposures with a common risk characteristic."
Credit,U.S. Housing Market Risk,"We may be adversely affected by weaknesses in the U.S. housing market. During 2025, the U.S. housing market continued to be impacted by elevated mortgage rates, including 30-year fixed-rate mortgages that more than doubled from 2021."
Credit,Derivatives and Counterparty Risk,"We are party to a large number of derivatives transactions that may expose us to unexpected market, credit and operational risks that could cause us to suffer unexpected losses. Fluctuations in asset values or rates or an unanticipated credit event may lead to losses resulting from risks not taken into account or anticipated in the development, structuring or pricing of a derivative instrument."
Geopolitical,Cross-Border Operating Risk,"We do business globally, including in emerging markets. Economic or geopolitical stress in one or more countries could have a negative impact regionally or globally, resulting in, among other things, market volatility, valuation declines and declines in economic output."
Geopolitical,Trade and Sanctions Risk,"Political and economic interactions between the U.S. and important trading partners, including China, have become increasingly fragmented and complex and may result in sanctions, further tariff increases or other restrictive actions on cross-border trade, investment and transfer of data and information technology."
Geopolitical,Sovereign and Geopolitical Event Risk,"Our non-U.S. businesses are also subject to extensive regulation by governments, securities exchanges and regulators, central banks and other regulatory bodies. In many countries, the LRRs applicable to the financial services and securities industries are less predictable, prone to change and uncertainty."
Geopolitical,Military Conflict and Terrorism Risk,"We are also subject to other geopolitical risks, including acts or threats of international or domestic terrorism, corporate espionage, civil unrest and/or military conflicts, including the escalation of tensions between China and Taiwan, which could adversely affect business, market trade and general economic conditions abroad and in the U.S."
Business Operations,Operational and Systems Failure Risk,"A failure in or breach of our operations or information systems, or those of third parties or the financial services industry, could cause disruptions, adversely impact our businesses, results of operations and financial condition, and cause legal or reputational harm. Operational risk exposure exists throughout our organization, including risks arising from our operations and information systems."
Business Operations,Cybersecurity Risk,"The Corporation and third parties with whom we interact and/or on whom we rely, are subject to cybersecurity incidents, information and security breaches, and technology failures that have and in the future could adversely affect our ability to conduct our businesses, result in the alteration, unavailability, misuse, destruction or disclosure of information, damage our reputation, increase our regulatory and legal risks."
Business Operations,AI and Emerging Technology Risk,"Emerging technologies, such as AI and quantum computing, are expected to increase these risks. For example, AI lowers the entry barriers to plan and execute cyberattacks, enables more personalized and harder to detect social engineering, and improves vulnerability discovery. We use, and expect to increasingly use, emerging technologies, including AI, across our operations."
Business Operations,Third-Party and Vendor Risk,"We also face significant third-party technology, cybersecurity and operational risks relating to the large number of clients and third parties on whom we rely to operate our business. Third-party information systems extend beyond our security and control systems, and such third parties have varying levels of security and cybersecurity resources."
Business Operations,Model Risk,"We could suffer operational, reputational and financial harm if our models fail to properly anticipate and manage risk. Our models may not be sufficiently predictive of future results, including from limited historical patterns, extreme or unanticipated market movements or clients' behavior and liquidity, especially during severe market downturns or stress events."
Business Operations,Data Management Risk,"Failure to properly manage data may adversely affect our ability to manage compliance risk and business needs, and result in errors in our operations, reporting and decision-making, and compliance with LRRs. Our data management processes may not be effective and are subject to weaknesses and failures."
Business Operations,Climate and Physical Risk,"Climate-related matters present short-, medium- and long-term risks. This includes physical risks such as extreme weather events and natural disasters, including floods, wildfires, hurricanes and tornados, and chronic risks such as rising average global temperatures and sea levels."
Business Operations,GSE Structure Risk,"Changes in the structure of and relationship among the GSEs could adversely impact our business. We rely on the GSEs to guarantee or purchase certain mortgage loans that meet their conforming loan requirements."
Business Operations,Servicer Obligation Risk,"Failure to satisfy our obligations as servicer for residential mortgage securitizations, loans owned by other entities and other related losses could adversely impact our reputation, servicing costs or results of operations."
Regulatory and Legal,Evolving Regulatory and Compliance Risk,"We operate in a highly regulated industry and are subject to evolving and comprehensive federal, state and foreign LRRs and Executive Branch Actions. This significantly affects and has the potential to increase our compliance and operational costs, restrict the scope of our existing businesses, impact potential relationships with our clients."
Regulatory and Legal,Capital and Liquidity Regulatory Risk,"U.S. federal banking agencies may require increased capital and liquidity levels, which could adversely impact the Corporation. As a G-SIB, we are also required to hold additional capital buffers, including a G-SIB surcharge, an SCB and a countercyclical buffer, which are reassessed at least annually."
Regulatory and Legal,Enforcement and Legal Proceedings Risk,"We face significant legal risks in our business, with a high volume of claims against us, including related to various products, services and markets. The amount of damages, penalties and fines that private litigants, including clients and other counterparties, and regulators seek from us and other financial institutions continues to be significant and unpredictable."
Regulatory and Legal,Consent Order and Settlement Risk,"In December 2024, the OCC issued a Consent Order against BANA relating to certain aspects of its BSA, anti-money laundering and economic sanctions compliance programs, and we continue to respond to requests for information about similar aspects of such programs from other regulators."
Regulatory and Legal,Tax Law Change Risk,"We could be adversely affected if U.S. and foreign governmental authorities further change tax laws, including changes to the 2025 Budget Reconciliation Act. Also, new guidelines issued by the OECD will impose a 15 percent global minimum tax on certain taxpayers on a country-by-country basis."
Reputation,Reputational Harm Risk,"Damage to our reputation could harm our businesses, including our competitive position and business prospects. Our ability to attract and retain clients, investors and employees is impacted by our reputation. Reputational harm can arise from various sources that affect public trust, including actual or perceived business activities and activities of our officers, directors, employees, other representatives, clients and third parties."
Other,Competition Risk,"We operate in a highly competitive environment and experience intense competition from local and global bank and nonbank financial institutions and new market entrants. Increasing pressure to provide products and services on more attractive terms, including lower fees, lower cost investment strategies and higher interest rates on deposits, may impact our ability to effectively compete."
Other,Strategic and Business Model Adaptation Risk,"Our inability to adapt our business strategies, products and services could harm our business. We rely on a diversified mix of businesses that deliver a broad range of financial products and services through multiple distribution channels."
Other,Talent and Human Capital Risk,"Our ability to attract, develop and retain qualified employees is critical to our success, business prospects and competitive position. Competition for qualified personnel is intense from within and outside the financial services industry."
