Risk_Category,Risk_Factor_Title,Verbatim_Excerpt
Economy and External Factors,"Business and financial performance vulnerable to adverse economic conditions","Our business and overall financial performance are affected to a significant extent by economic conditions, primarily in the U.S. Declining or adverse economic conditions and adverse changes in investor, consumer and business sentiment generally result in reduced business activity, which may decrease the demand for our products and services or reduce the number of creditworthy borrowers."
Economy and External Factors,"Sustained inflation, trade policy, geopolitical tensions","We operate in an uncertain economic environment due to sustained inflationary pressures, including higher prices and lower housing affordability, and fluctuating trade policies (including tariffs), combined with geopolitical tensions."
Economy and External Factors,"Federal debt and fiscal policy risk","Concern regarding high and rising federal debt levels and federal budgetary matters (including the debt ceiling), or prolonged stalemates leading to total or partial government shutdowns, also can create the risk of economic instability or market volatility, with potential adverse consequences to our business and financial performance."
Economy and External Factors,"Federal Reserve monetary policy impact","The monetary policies of the Federal Reserve, including changes in the federal funds rate, open market operations and balance sheet management, have a significant impact on interest rates, the value of financial instruments and other assets and liabilities, and overall financial market performance and volatility."
Regulatory,"Comprehensive regulatory oversight","As a regulated financial services firm, we are subject to numerous governmental regulations and comprehensive oversight by a variety of regulatory agencies and enforcement authorities."
Regulatory,"Regulatory capital and liquidity standards","We are subject to regulatory capital and liquidity requirements established by the Federal Reserve and the OCC, respectively. Requirements to maintain specified levels of capital and liquidity impact our business activities."
Regulatory,"BSA/AML and sanctions compliance","The financial services industry continues to face heightened scrutiny, including with respect to BSA/AML, know-your-customer and export and sanctions compliance requirements."
Capital and Liquidity,"Liquidity constraint risk","Our liquidity could be impaired as a result of unanticipated outflows of cash or collateral, unexpected loss of consumer deposits or higher than anticipated draws on lending-related commitments, an inability to sell assets, or a default by a counterparty."
Capital and Liquidity,"Credit ratings downgrade","A downgrade in our credit ratings could significantly impact our liquidity, funding costs and access to the capital markets."
Capital and Liquidity,"Dividend and capital distribution restrictions","Requirements to maintain specified levels of capital ... may prevent us from taking advantage of opportunities in the best interest of shareholders or force us to take actions contrary to their interests."
Credit,"Credit risk inherent in financial services business","Credit risk is inherent in the financial services business. It results from, among other things, extending credit to customers, purchasing securities, and entering into financial derivative transactions and certain guarantee contracts."
Credit,"Asset concentration increases potential for significant credit losses","The concentration and mix of our assets could increase the potential for significant credit losses. Loans secured by real estate typically represent a significant percentage of our overall credit portfolio."
Credit,"CECL allowance volatility","Under CECL, the ACL reflects expected lifetime losses, which has led and could continue to lead to volatility in the allowance and the provision for credit losses."
Market and Interest Rate,"Interest rate and yield curve risk","Changes in interest rates, in the shape of the yield curve or in spreads between different market interest rates can have a material effect on our business, our profitability and the value of our financial assets and liabilities."
Market and Interest Rate,"Financial asset value changes","Our business and financial performance are vulnerable to the impact of changes in the values of financial assets. Such assets and liabilities will fluctuate in value, often significantly, due to movements in the financial markets or market volatility."
Technology and Cyber,"Technology competitive position","The use of technology is critical to our ability to maintain or enhance the competitiveness of our businesses. A failure to maintain or enhance our competitive position with respect to technology would likely cause us to lose market share or incur additional expense."
Technology and Cyber,"Technology failure and interruption risk","We could suffer a material adverse impact from failures and interruptions in the effective operation of our technology. The risks of failures and interruptions result from a variety of factors."
Technology and Cyber,"Cyber attacks and data security breaches","We are vulnerable to the risk of cyber attacks and breaches affecting the functioning of technology or the confidentiality of information that could adversely affect our customers and our business."
Technology and Cyber,"AI-enhanced cyber threats","The effectiveness of these efforts may be enhanced using AI. ... The techniques used in cyber attacks and breaches change rapidly and are increasingly sophisticated, including through the use of generative AI and deepfakes, and we expect in the future through the use of quantum computing."
Technology and Cyber,"Third-party technology reliance","We rely on technology maintained by other companies. ... Technology maintained by or for these other companies is generally subject to many of the same risks we face with respect to our technology and thus their issues could have a negative impact on PNC."
Privacy and Data,"Privacy and data rights initiatives","Privacy and personal data rights initiatives have imposed and will continue to impose additional operational burdens on PNC, and they may limit our ability to pursue desirable business initiatives."
