Risk_Category,Risk_Factor_Title,Verbatim_Excerpt
Economic and Market,"Economic and Market Risks","Developments in the business, economic, and geopolitical environment could negatively impact our business. Our business can be adversely affected by the general environment -- economic, corporate, securities market, regulatory, and geopolitical developments all play a role in client asset valuations, trading activity, interest rates, and overall investor engagement, and are outside of our control." [^2]
Economic and Market,"Client Cash Allocation Risk","A significant reduction in our clients' allocation to cash, a change in the allocation of that cash, or a transfer of cash away from the Company, would likely reduce our income. For example, as a result of rapid increases in short-term interest rates in 2022 and 2023, the Company saw a significant decrease in clients' asset allocation to sweep cash and greater client investment in higher-yielding alternatives at Schwab." [^2]
Economic and Market,"Interest Rate Risk","The direction and level of interest rates are important factors in our earnings. A decline in interest rates may have a negative impact on our net interest revenue and our bank deposit account fee revenue. The rapid increases in market interest rates experienced in 2022 and 2023 also contributed to increased unrealized losses on our investment securities portfolios." [^2]
Liquidity,"Liquidity Risk","A significant decrease in our liquidity could negatively affect our business as well as reduce client confidence in us. Maintaining adequate liquidity is crucial to our business operations, including transaction settlement, custody requirements, and lending commitments, among other liquidity needs." [^2]
Liquidity,"Funding and External Financing Risk","During periods of disruptions in the credit and capital markets, potential sources of external financing could be reduced, and borrowing costs could increase. A downgrade in the Company's credit ratings could increase its borrowing costs and limit its access to the capital markets." [^2]
Operational,"Cybersecurity Risk","Information security risks for financial institutions are increasing, in part because of the use of the internet and mobile and cloud technologies to conduct financial transactions, and the increased sophistication and activities, including the use of artificial intelligence technologies, of organized crime, activists, hackers and other external parties, including foreign state actors." [^2]
Operational,"Technology and Operational Failures","System interruptions, errors or downtime can result from a variety of causes, including changes in client use patterns, technological failure, changes to our systems, linkages with third-party systems and power failures and can have a significant impact on our business and operations." [^2]
Operational,"Outsourced Service Provider Risk","We rely on external service providers to perform certain key technology, cloud infrastructure, processing, servicing, support, and custody functions. An interruption in or the cessation of service by any external service provider ... could disrupt our operations, impact our ability to offer certain products and services, and result in financial losses to us." [^2]
Operational,"Fraud and Financial Crime Risk","The risk of fraud for financial institutions has significantly increased in recent years, in part because of the proliferation of new technologies and the increased sophistication and activities of organized crime and hackers... Increasing sophistication in artificial intelligence and broad public availability of such technologies... has resulted in increased risk of external fraud by enhanced or novel techniques." [^2]
Credit,"Credit Risk","We may suffer significant losses from our credit exposures. Our businesses are subject to the risk that a client, counterparty or issuer will fail to perform its contractual obligations, or that the value of collateral held to secure obligations will prove to be inadequate." [^2]
Credit,"Margin and Securities-Based Lending Risk","Our margin, options and futures business has materially increased in recent years as a result of market-driven factors and overall growth of our business... Abrupt changes in securities valuations and the failure of clients to meet margin calls could result in substantial losses, especially if there is a lack of liquidity." [^2]
Compliance,"Compliance and Regulatory Risk","Extensive regulatory supervision of our businesses may subject us to significant penalties or limitations on business activities. The costs and uncertainty related to complying with such regulations continue to increase. Regulators could also limit our ability to grow, including adding assets, launching new products, and making acquisitions." [^2]
Compliance,"Legislative and Rule Changes","Legislation or changes in rules and regulations could negatively affect our business and financial results. New legislation, rules, regulations and guidance, or changes in the interpretation or enforcement of existing federal, state, foreign and SRO rules... may directly affect our operations and profitability or our specific business lines." [^2]
Compliance,"Capital Adequacy and Liquidity Guidelines","Failure to meet capital adequacy and liquidity guidelines could affect our financial condition. CSC, together with its banking, broker-dealer, and FCM/FDM subsidiaries, must meet certain capital and liquidity standards... New regulatory capital, liquidity, capital planning, and stress testing requirements may limit or otherwise restrict how we utilize our capital." [^2]
Strategic,"Strategic Transaction Risk","Any such transaction, including our acquisition of Forge, could have a material impact on our financial position, results of operations, or cash flows. The process of evaluating, negotiating, effecting, and integrating any such strategic transaction may divert management's attention from other business concerns." [^2]
Strategic,"Digital Assets and Cryptocurrency Risk","We intend to offer clients direct access to select digital assets, which exposes us to new and uncertain financial, operational, legal, and regulatory risks that could adversely affect our business and financial results. Digital assets function as bearer instruments controlled with private keys, and transactions in digital assets are generally irreversible." [^2]
Strategic,"Industry Competition Risk","We operate in a highly competitive environment with a broad array of competitors from large integrated banks to venture-capital-backed private companies. Increased price competition from other financial services firms to attract clients... could impact our results of operations and financial condition." [^2]
Conduct,"Litigation and Regulatory Proceedings","The financial services industry faces significant litigation and regulatory risks. We are subject to claims and lawsuits in the ordinary course of business, including arbitrations, class actions and other litigation, some of which include claims for substantial or unspecified damages." [^2]
Reputational,"Stock Price Volatility","Our stock price has fluctuated historically, and may continue to fluctuate. Factors that may affect trading and the volatility of our stock price include: financial results; business metrics such as client cash and net new client assets; and general stock market activity and industry developments." [^2]
