Risk_Category,Risk_Factor_Title,Verbatim_Excerpt
Legal and Regulatory,Regulatory Changes,"Changes to and introduction of new rules and regulations have compelled, and in the future may compel, us to change how we manage our businesses, which could have a material adverse effect on our business, financial condition and results of operations"
Legal and Regulatory,Enforcement and Litigation,"regulatory or enforcement actions or litigation could materially adversely affect our results of operations or harm our businesses or reputation"
Operational,Human Capital,"our business may be adversely affected if we are unable to attract, retain, develop and motivate employees"
Operational,Internal Controls,"a failure or circumvention of our controls, policies and procedures could have a material adverse effect on our business, financial condition, results of operations and reputation"
Market,Market Volatility,"weakness and volatility in financial markets and the economy generally may materially adversely affect our business, financial condition and results of operations"
Revenue,Fee-Based Revenue,"we are dependent on fee-based business for a substantial majority of our revenue and our fee-based revenues could be adversely affected by slowing market activity, weak financial markets, underperformance and/or negative trends in savings rates or in investment preferences"
Market,Interest Rate Sensitivity,"levels of and changes in interest rates have impacted, and will in the future continue to impact, our profitability and capital levels, at times adversely"
Market,Securities Losses,"we have experienced, and may continue to experience, unrealized or realized losses on securities related to volatile and illiquid market conditions, reducing our capital levels and/or earnings"
Credit,Counterparty Risk,"the failure or perceived weakness of any of our significant clients or counterparties, many of whom are major financial institutions or sovereign entities, and our assumption of credit, counterparty and concentration risk, could expose us to credit losses and adversely affect our business"
Credit,Allowance Adequacy,"we could incur losses if our allowance for credit losses, including loan and lending-related commitment reserves, is inadequate or if our expectations of future economic conditions deteriorate"
Liquidity,Liquidity Management,"our business, financial condition and results of operations could be adversely affected if we do not effectively manage our liquidity"
Strategic,Competition,"competition in the financial services industry continues to be intense"
Strategic,Fintech Disruption,"our competitive position may be affected by institutions that are not similarly subject to extensive regulation, such as financial technology firms"
Technology,Cybersecurity,"we face risks related to cybersecurity threats and incidents that could disrupt our operations and result in financial losses"
Technology,Third-Party Risk,"our business depends on third-party service providers, and failures or disruptions in their services could adversely affect our operations"
