Risk_Category,Risk_Factor_Title,Verbatim_Excerpt
Legal and Regulatory,"Legal and Regulatory Risks","JPMorganChase's businesses are highly regulated and are significantly affected by applicable law and supervisory expectations. JPMorganChase must comply with applicable law in all of the jurisdictions around the world where it does business."
Legal and Regulatory,"Resolution Plan Requirements","Changes in the requirements for the regulatory evaluation of JPMorganChase's resolution plan could increase its funding or operational costs or require restructuring or curtailment of its businesses."
Legal and Regulatory,"Single Point of Entry / Loss Absorption","Holders of JPMorgan Chase & Co.'s debt and equity securities will absorb losses if it were to enter into a resolution. The preferred 'single point of entry' strategy under JPMorganChase's resolution plan contemplates that the Parent Company would enter bankruptcy proceedings."
Political,"Political and Geopolitical Risks","JPMorganChase's businesses could be negatively affected by economic uncertainty resulting from political and geopolitical developments. Political developments in the U.S. and other countries could cause uncertainty in the economic environment and market conditions in which JPMorganChase operates."
Market,"Adverse Economic and Market Events","Adverse economic and market events and conditions could negatively affect JPMorganChase's results of operations and investment and market-making positions."
Market,"Interest Rate and Credit Spread Changes","Changes in interest rates and credit spreads could adversely affect JPMorganChase's earnings or its liquidity and capital levels."
Market,"Consumer Business Sensitivity","JPMorganChase's consumer businesses are particularly affected by U.S. and global economic conditions, including: the distribution of personal and household income, unemployment or underemployment, changes in housing prices."
Credit,"Credit Risk from Counterparties","JPMorganChase could be negatively affected by adverse changes in the financial condition of clients, counterparties, CCPs and other market participants."
Credit,"Concentration of Credit Risk","JPMorganChase could incur significant losses arising from concentrations of credit and market risk."
Credit,"Collateral Value Declines","JPMorganChase could suffer losses if the value of collateral declines. During periods of market stress or illiquidity, JPMorganChase's credit risk could increase when: JPMorganChase fails to realize the estimated value of the collateral it holds."
Liquidity,"Constrained Liquidity","JPMorganChase's ability to operate its businesses could be impaired if its liquidity is constrained."
Liquidity,"Holding Company Funding Dependency","JPMorgan Chase & Co. is a holding company and depends on its subsidiaries for funding to make payments on its outstanding securities."
Liquidity,"Credit Rating Downgrades","JPMorganChase's liquidity and cost of funding could be adversely affected by downgrades in its credit ratings."
Capital,"Regulatory Capital Requirements","JPMorganChase's ability to distribute capital to shareholders, and to support its business activities could be limited if it does not satisfy applicable regulatory capital requirements."
Operational,"Operational Systems Failure","JPMorganChase's businesses could be adversely affected by the failure or disruption of operational systems on which they depend."
Operational,"Cyber Attacks","A successful cyber attack could cause significant harm to JPMorganChase and its clients and customers. JPMorganChase experiences numerous cyber attacks on its computer systems, software, networks and other technology assets."
Operational,"Data Management Failures","Any failure to maintain adequate data management processes could adversely affect JPMorganChase's ability to effectively manage its businesses, comply with applicable law or make informed business decisions."
Operational,"Vendor and Third-Party Risk","Enhanced regulatory and other standards for the oversight of JPMorganChase's vendors and other service providers could result in higher costs and other potential exposures."
Operational,"Model and Estimation Risk","JPMorganChase could recognize unexpected losses, its capital levels could be reduced and it could face greater regulatory scrutiny if its models, estimations or judgments, including those used in its financial statements, are inadequate or incorrect."
Strategic,"Business Strategy and Competition","JPMorganChase's results or competitive standing could suffer if its management fails to develop and execute effective business strategies and to anticipate changes affecting those strategies."
Strategic,"Advanced Technologies and AI","The rapid development and deployment of advanced technologies, including generative and agentic AI systems, present a range of risks to JPMorganChase's businesses and operations."
Strategic,"Climate Change","The effects of climate change could adversely affect JPMorganChase's business and operations, both directly and as a result of impacts on its clients and customers."
Conduct,"Employee Conduct Failure","Conduct failure by JPMorganChase employees could trigger litigation and regulatory actions and harm JPMorganChase's reputation."
Reputation,"Reputational Damage","Damage to JPMorganChase's reputation could negatively affect its business, results and prospects."
Reputation,"Conflicts of Interest","Failure to effectively manage potential conflicts of interest or to satisfy fiduciary obligations could result in litigation and enforcement actions and cause reputational harm."
Country,"Geopolitical Hostilities","An outbreak or escalation of hostilities between countries or within a country or region could have a material adverse effect on the global economy and on JPMorganChase's businesses within the affected region or globally."
Country,"Emerging Market Risks","JPMorganChase's business and operations in certain countries could be adversely affected by local economic, political, regulatory and social factors."
People,"Workforce and Talent Retention","Various factors could impact JPMorganChase's workforce. JPMorganChase's efforts to hire and retain talented employees could be hindered by factors such as: the emerging need for more-skilled workers in an evolving workplace environment, and targeted recruitment of JPMorganChase employees by competitors."
People,"AI and Workforce Displacement","Advances in technology, such as automation, AI and data science, could lead to workforce displacement. This could require JPMorganChase to invest in additional employee training, manage impacts on morale and retention."
