Risk_Category,Risk_Factor_Title,Verbatim_Excerpt
Market,Global Market and Economic Conditions,"Our businesses have been and may in the future be adversely affected by conditions in the global financial markets and broader economic conditions. These conditions can change suddenly and negatively."
Market,Declining Asset Values,"Our businesses have been and may in the future be adversely affected by declining asset values, particularly where we have net ""long"" positions, receive fees based on the value of assets managed, or receive or post collateral."
Market,Market Volatility,"Our market-making activities have been and may in the future be affected by changes in the levels of market volatility."
Market,Investment Banking and Client Activity,"Our investment banking, client intermediation, asset management and wealth management businesses have in the past been adversely affected and may in the future be adversely affected by market uncertainty or lack of confidence among investors and CEOs due to declines in economic activity and other unfavorable economic, geopolitical or market conditions."
Market,Poor Investment Performance,"Our asset management and wealth management businesses have been and may in the future be adversely affected by the poor investment performance of our investment products or a client preference for products other than those which we offer or for products that generate lower fees."
Market,Inflation,"Inflation has had and could in the future have a negative effect on our business, results of operations and financial condition."
Liquidity,Capital Market Access,"Our liquidity, profitability and businesses may be adversely affected by an inability to access the debt capital markets or to sell assets."
Liquidity,Credit Market Disruptions,"Our businesses have been and may in the future be adversely affected by disruptions or lack of liquidity in the credit markets, including reduced access to credit and higher costs of obtaining credit."
Liquidity,Credit Ratings and Spreads,"Reductions in our credit ratings or an increase in our credit spreads may adversely affect our liquidity and cost of funding."
Liquidity,Holding Company Structure,"Group Inc. is a holding company and its liquidity depends on payments and loans from its subsidiaries, many of which are subject to legal, regulatory and other restrictions on providing funds or assets to Group Inc."
Credit,Counterparty Credit Deterioration,"Our businesses, profitability and liquidity may be adversely affected by deterioration in the credit quality of or defaults by third parties."
Credit,Concentration of Risk,"Concentration of risk increases the potential for significant losses in our market-making, underwriting, investing and financing activities."
Credit,Derivative and Settlement Risk,"Derivative transactions and delayed documentation or settlements expose us to credit risk, unexpected risks and potential losses."
Operational,Systems and Human Error,"A failure in our or third-party operational systems or human error, malfeasance or other misconduct, could impair our liquidity, disrupt our businesses, result in the disclosure of confidential information, damage our reputation and cause losses."
Operational,Infrastructure Failure,"A failure or disruption in our infrastructure, or in the operational systems or infrastructure of third parties, could impair our liquidity, disrupt our businesses, damage our reputation and cause losses."
Operational,Artificial Intelligence,"The development and use of AI present risks and challenges that may adversely impact our business."
Operational,Cyber Attacks,"A failure to protect our computer systems, networks and information, and our clients' information, against cyber attacks and similar threats could impair our ability to conduct our businesses, result in the disclosure, theft or destruction of confidential information, damage our reputation and cause losses."
Legal and Regulatory,Extensive and Pervasive Regulation,"Our businesses and those of our clients are subject to extensive and pervasive regulation around the world."
Legal and Regulatory,Conflicts of Interest,"A failure to appropriately identify and address potential conflicts of interest has in the past adversely affected and may in the future adversely affect our businesses."
Legal and Regulatory,Governmental Scrutiny,"We may be adversely affected by governmental and regulatory scrutiny or negative publicity."
Legal and Regulatory,Regulatory Enforcement Liability,"Substantial civil or criminal liability or significant regulatory action against us has in the past had and may in the future have material adverse financial effects and significant reputational consequences, which in turn could seriously harm our business prospects."
Legal and Regulatory,Cross-Border Political and Legal Risk,"In conducting our businesses around the world, we are subject to political, legal, regulatory, tax and other risks that are inherent in operating in many countries."
Legal and Regulatory,Orderly Resolution,"The application of regulatory strategies and requirements in the U.S. and in non-U.S. jurisdictions to facilitate the orderly resolution of large financial institutions could create greater risk of loss for Group Inc.'s security holders."
Legal and Regulatory,Resolution Strategy Loss,"The application of Group Inc.'s proposed resolution strategy could result in greater losses for Group Inc.'s security holders."
Legal and Regulatory,Commodities Activities,"Our commodities activities, particularly our physical commodities activities, subject us to extensive regulation and involve certain potential risks, including environmental, reputational and other risks that may expose us to significant liabilities and costs."
Competition,Client Base Composition,"Our results have been and may in the future be adversely affected by the composition of our client base."
Competition,Industry Competition,"The financial services industry is highly competitive."
Competition,Technology and Electronic Trading,"The growth of electronic trading and the introduction of new products and technologies, including trading and distributed ledger technologies, such as cryptocurrencies, and AI technologies, has increased competition."
Competition,Talent Retention,"Our businesses would be adversely affected if we are unable to hire and retain qualified employees."
Market Developments and Business Environment,Catastrophic Events,"Our businesses, financial condition, liquidity and results of operations have been and may in the future be adversely affected by unforeseen or catastrophic events, including pandemics, terrorist attacks, wars, extreme weather events or other natural disasters."
Market Developments and Business Environment,Climate-Related Risk,"Climate-related physical and transition risks could disrupt our businesses and adversely affect client activity levels and the creditworthiness of our clients and counterparties, and we are at increased risk of being subject to conflicting legal and regulatory requirements and stakeholder expectations regarding climate-related matters."
Market Developments and Business Environment,Geopolitical Conflicts,"Our business, financial condition, liquidity and results of operations have been adversely affected by disruptions in the global economy caused by conflicts, and related sanctions and other developments."
Market Developments and Business Environment,Reference Rate Risk,"Certain of our businesses and our funding instruments may be adversely affected by changes in reference rates, currencies, indexes, baskets or ETFs to which products we offer or funding that we raise are linked."
Market Developments and Business Environment,U.S.-China Tensions,"Our business, financial condition, liquidity and results of operations may be adversely affected by disruptions in the global economy caused by escalating tensions between the U.S. and China."
Market Developments and Business Environment,New Markets and Counterparties,"We face enhanced risks as we operate in new locations and transact with a broader array of clients and counterparties."
Market Developments and Business Environment,Acquisition Integration,"We may not be able to fully realize the expected benefits or synergies from acquisitions, joint ventures or other business initiatives in the time frames we expect, or at all."
